SVD_Component,Importance
Comp41,0.0684931506849315
Comp19,0.06612044455931765
Comp25,0.06506849315068493
Comp40,0.05821917808219178
Comp43,0.0547945205479452
Comp23,0.048342751361326035
Comp44,0.04794520547945205
Comp26,0.04452054794520548
Comp2,0.0410958904109589
Comp38,0.03424657534246575
Comp32,0.0302994700529947
Comp1,0.0273972602739726
Comp13,0.0273972602739726
Comp21,0.023972602739726026
Comp22,0.023972602739726026
Comp17,0.020371051471102533
Comp31,0.020044456723845767
Comp30,0.019917441772738537
Comp29,0.018029483129785494
Comp20,0.017600799463614702
Comp16,0.017123287671232876
Comp37,0.017123287671232876
Comp35,0.017123287671232876
Comp39,0.016507164237095875
Comp28,0.016248229996977073
Comp8,0.0136986301369863
Comp36,0.0136986301369863
Comp15,0.0136986301369863
Comp42,0.0136986301369863
Comp9,0.013314882433658162
Comp11,0.011149030276995528
Comp33,0.010273972602739725
Comp4,0.010273972602739725
Comp14,0.010273972602739725
Comp27,0.009301114364890627
Comp12,0.00782217330634225
Comp5,0.00684931506849315
Comp24,0.00684931506849315
Comp7,0.00684931506849315
Comp3,0.003424657534246575
Comp18,0.003424657534246575
Comp34,0.003424657534246575
Comp10,0.0
Comp6,0.0
